Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
KC1,PM10,01/01/2016 00:00,19.90000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 00:15,35.80000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 00:30,49.70000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 00:45,57.00000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 01:00,59.00000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 01:15,58.00000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 01:30,56.10000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 01:45,54.50000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 02:00,58.40000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 02:15,48.40000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 02:30,36.90000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 02:45,33.20000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 03:00,34.50000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 03:15,30.00000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 03:30,31.60000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 03:45,32.60000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 04:00,31.10000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 04:15,26.70000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 04:30,29.50000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 04:45,26.20000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 05:00,25.70000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 05:15,24.20000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 05:30,21.60000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 05:45,25.20000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 06:00,23.60000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 06:15,19.40000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 06:30,17.20000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 06:45,20.40000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 07:00,26.30000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 07:15,26.40000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 07:30,25.10000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 07:45,25.20000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 08:00,21.50000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 08:15,13.60000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 08:30,14.50000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 08:45,14.60000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 09:00,12.40000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 09:15,12.80000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 09:30,10.90000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 09:45,7.80000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 10:00,13.40000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 10:15,11.60000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 10:30,14.50000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 10:45,14.60000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 11:00,12.50000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 11:15,13.30000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 11:30,11.90000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 11:45,14.00000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 12:00,11.10000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 12:15,11.30000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 12:30,9.40000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 12:45,10.30000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 13:00,13.20000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 13:15,9.50000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 13:30,14.70000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 13:45,15.00000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 14:00,15.00000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 14:15,16.30000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 14:30,17.90000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 14:45,15.40000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 15:00,16.90000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 15:15,18.10000,ug m-3 reference equiv by VCM,R
KC1,PM10,01/01/2016 15:30,18.20000,ug m-3 reference equiv by VCM,R
