date,value
20160101,12.39777
20160102,5.40749
20160103,8.14902
20160104,6.87963
20160105,5.53143
20160106,6.47334
20160107,5.58409
20160108,6.13961
20160109,3.79043
20160110,6.22884
20160111,3.66167
20160112,3.76172
20160113,5.22862
20160114,3.88335
20160115,4.51306
20160116,9.77131
20160117,5.98066
20160118,9.21896
20160119,20.82962
20160120,12.74815
20160121,9.50870
20160122,9.34660
20160123,10.66546
20160124,3.27955
20160125,6.06140
20160126,13.56412
20160127,
20160128,
20160129,
20160130,
20160131,
20160201,8.95682
20160202,9.56347
20160203,10.25773
20160204,4.90543
20160205,3.53130
20160206,5.48768
20160207,5.46732
20160208,10.30944
20160209,6.02581
20160210,4.02919
20160211,6.72085
20160212,5.21393
20160213,4.54974
20160214,5.95008
20160215,6.31271
20160216,9.32720
20160217,5.42280
20160218,9.37527
20160219,5.00903
20160220,4.04938
20160221,2.90467
20160222,4.58321
20160223,7.86579
20160224,18.27578
20160225,12.33457
20160226,7.70371
20160227,7.02822
20160228,4.71597
20160229,5.80696
20160301,4.11020
20160302,4.61057
20160303,3.00486
20160304,3.32147
20160305,6.18775
20160306,5.91213
20160307,6.27319
20160308,7.17422
20160309,4.02928
20160310,6.29733
20160311,7.53672
20160312,8.54166
20160313,7.03806
20160314,4.89990
20160315,5.22738
20160316,3.55489
20160317,
20160318,
20160319,
20160320,
20160321,
20160322,
20160323,
20160324,
20160325,
20160326,
20160327,
20160328,
20160329,
20160330,
20160331,
20160401,
20160402,
20160403,
20160404,3.77437
20160405,3.76122
20160406,4.54050
20160407,3.77537
20160408,3.17503
20160409,4.22915
20160410,6.28909
20160411,7.18465
20160412,3.67577
20160413,4.94756
20160414,4.62277
20160415,4.19065
20160416,2.62758
20160417,3.94652
20160418,4.02580
20160419,7.60775
20160420,12.54239
20160421,11.51462
20160422,9.20894
20160423,5.32205
20160424,5.07091
20160425,2.84224
20160426,4.57376
20160427,5.68698
20160428,3.79770
20160429,4.33575
20160430,4.97876
20160501,4.24351
20160502,4.09663
20160503,6.13385
20160504,8.31316
20160505,
20160506,12.68675
20160507,8.64493
20160508,5.05668
20160509,8.59767
20160510,4.51759
20160511,2.83964
20160512,8.01823
20160513,8.17587
20160514,7.60992
20160515,7.88179
20160516,7.87636
20160517,4.68828
20160518,2.87057
20160519,3.42625
20160520,4.08084
20160521,3.79391
20160522,2.97645
20160523,3.83160
20160524,3.97319
20160525,5.22391
20160526,4.53647
20160527,4.07429
20160528,
20160529,
20160530,
20160531,
20160601,
20160602,
20160603,
20160604,
20160605,
20160606,7.40218
20160607,7.57950
20160608,4.89402
20160609,6.21983
20160610,5.19351
20160611,5.61525
20160612,
20160613,
20160614,
20160615,
20160616,9.33787
20160617,7.83253
20160618,6.45017
20160619,7.74534
20160620,
20160621,
20160622,
20160623,
20160624,5.52556
20160625,5.59238
20160626,4.54180
20160627,4.07654
20160628,4.49384
20160629,3.14247
20160630,3.05217
20160701,3.61086
20160702,4.16631
20160703,4.93655
20160704,4.14079
20160705,4.61555
20160706,5.90697
20160707,3.15546
20160708,2.79790
20160709,3.83160
20160710,2.97148
20160711,4.10683
20160712,4.37206
20160713,5.37155
20160714,3.58045
20160715,4.67196
20160716,5.64675
20160717,5.91350
20160718,4.72526
20160719,5.49580
20160720,9.30357
20160721,2.02638
20160722,4.12078
20160723,3.57971
20160724,2.63302
20160725,2.53200
20160726,2.60015
20160727,3.70522
20160728,4.73713
20160729,3.15450
20160730,4.42177
20160731,3.28817
20160801,4.13630
20160802,4.12672
20160803,3.92027
20160804,3.40233
20160805,3.35911
20160806,2.04153
20160807,3.00310
20160808,4.62547
20160809,8.05092
20160810,2.87301
20160811,3.12926
20160812,2.61199
20160813,4.36866
20160814,2.24654
20160815,2.62897
20160816,4.26722
20160817,7.40286
20160818,8.89444
20160819,6.20053
20160820,6.33904
20160821,3.69932
20160822,2.80660
20160823,3.78837
20160824,5.48000
20160825,6.79607
20160826,3.08156
20160827,5.46007
20160828,3.77420
20160829,14.88031
20160830,4.63297
20160831,3.89325
20160901,4.02083
20160902,3.66838
20160903,4.32835
20160904,3.55545
20160905,5.40931
20160906,5.04982
20160907,3.60411
20160908,4.04548
20160909,3.57905
20160910,5.36214
20160911,3.29388
20160912,4.43042
20160913,6.00743
20160914,5.81830
20160915,3.94196
20160916,3.64230
20160917,3.06823
20160918,2.16997
20160919,4.66190
20160920,3.11364
20160921,4.46379
20160922,2.56445
20160923,
20160924,
20160925,3.52066
20160926,3.75211
20160927,4.57198
20160928,6.78417
20160929,5.48524
20160930,3.47963
20161001,4.33808
20161002,4.44219
20161003,7.27605
20161004,4.95811
20161005,5.89414
20161006,3.20733
20161007,2.72333
20161008,3.10658
20161009,2.25362
20161010,2.82881
20161011,4.17576
20161012,3.01482
20161013,3.89558
20161014,3.03224
20161015,3.82152
20161016,3.34451
20161017,3.41042
20161018,2.55789
20161019,2.12799
20161020,2.35124
20161021,2.30642
20161022,1.61386
20161023,4.72149
20161024,2.82799
