Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
KC2,PM2.5,01/01/2016 00:00,17.1,ug m-3,R
KC2,PM2.5,01/01/2016 00:15,17.1,ug m-3,R
KC2,PM2.5,01/01/2016 00:30,17.1,ug m-3,R
KC2,PM2.5,01/01/2016 00:45,17.1,ug m-3,R
KC2,PM2.5,01/01/2016 01:00,26.2,ug m-3,R
KC2,PM2.5,01/01/2016 01:15,26.2,ug m-3,R
KC2,PM2.5,01/01/2016 01:30,26.2,ug m-3,R
KC2,PM2.5,01/01/2016 01:45,26.2,ug m-3,R
KC2,PM2.5,01/01/2016 02:00,17,ug m-3,R
KC2,PM2.5,01/01/2016 02:15,17,ug m-3,R
KC2,PM2.5,01/01/2016 02:30,17,ug m-3,R
KC2,PM2.5,01/01/2016 02:45,17,ug m-3,R
KC2,PM2.5,01/01/2016 03:00,22.9,ug m-3,R
KC2,PM2.5,01/01/2016 03:15,22.9,ug m-3,R
KC2,PM2.5,01/01/2016 03:30,22.9,ug m-3,R
KC2,PM2.5,01/01/2016 03:45,22.9,ug m-3,R
KC2,PM2.5,01/01/2016 04:00,12.1,ug m-3,R
KC2,PM2.5,01/01/2016 04:15,12.1,ug m-3,R
KC2,PM2.5,01/01/2016 04:30,12.1,ug m-3,R
KC2,PM2.5,01/01/2016 04:45,12.1,ug m-3,R
KC2,PM2.5,01/01/2016 05:00,11.8,ug m-3,R
KC2,PM2.5,01/01/2016 05:15,11.8,ug m-3,R
KC2,PM2.5,01/01/2016 05:30,11.8,ug m-3,R
KC2,PM2.5,01/01/2016 05:45,11.8,ug m-3,R
KC2,PM2.5,01/01/2016 06:00,8.7,ug m-3,R
KC2,PM2.5,01/01/2016 06:15,8.7,ug m-3,R
KC2,PM2.5,01/01/2016 06:30,8.7,ug m-3,R
KC2,PM2.5,01/01/2016 06:45,8.7,ug m-3,R
KC2,PM2.5,01/01/2016 07:00,9.1,ug m-3,R
KC2,PM2.5,01/01/2016 07:15,9.1,ug m-3,R
KC2,PM2.5,01/01/2016 07:30,9.1,ug m-3,R
KC2,PM2.5,01/01/2016 07:45,9.1,ug m-3,R
KC2,PM2.5,01/01/2016 08:00,7.6,ug m-3,R
KC2,PM2.5,01/01/2016 08:15,7.6,ug m-3,R
KC2,PM2.5,01/01/2016 08:30,7.6,ug m-3,R
KC2,PM2.5,01/01/2016 08:45,7.6,ug m-3,R
KC2,PM2.5,01/01/2016 09:00,6.7,ug m-3,R
KC2,PM2.5,01/01/2016 09:15,6.7,ug m-3,R
KC2,PM2.5,01/01/2016 09:30,6.7,ug m-3,R
KC2,PM2.5,01/01/2016 09:45,6.7,ug m-3,R
KC2,PM2.5,01/01/2016 10:00,6.1,ug m-3,R
KC2,PM2.5,01/01/2016 10:15,6.1,ug m-3,R
KC2,PM2.5,01/01/2016 10:30,6.1,ug m-3,R
KC2,PM2.5,01/01/2016 10:45,6.1,ug m-3,R
KC2,PM2.5,01/01/2016 11:00,8.3,ug m-3,R
KC2,PM2.5,01/01/2016 11:15,8.3,ug m-3,R
KC2,PM2.5,01/01/2016 11:30,8.3,ug m-3,R
KC2,PM2.5,01/01/2016 11:45,8.3,ug m-3,R
KC2,PM2.5,01/01/2016 12:00,7.1,ug m-3,R
KC2,PM2.5,01/01/2016 12:15,7.1,ug m-3,R
KC2,PM2.5,01/01/2016 12:30,7.1,ug m-3,R
KC2,PM2.5,01/01/2016 12:45,7.1,ug m-3,R
KC2,PM2.5,01/01/2016 13:00,5.9,ug m-3,R
KC2,PM2.5,01/01/2016 13:15,5.9,ug m-3,R
KC2,PM2.5,01/01/2016 13:30,5.9,ug m-3,R
KC2,PM2.5,01/01/2016 13:45,5.9,ug m-3,R
KC2,PM2.5,01/01/2016 14:00,8.8,ug m-3,R
KC2,PM2.5,01/01/2016 14:15,8.8,ug m-3,R
KC2,PM2.5,01/01/2016 14:30,8.8,ug m-3,R
KC2,PM2.5,01/01/2016 14:45,8.8,ug m-3,R
KC2,PM2.5,01/01/2016 15:00,10.4,ug m-3,R
KC2,PM2.5,01/01/2016 15:15,10.4,ug m-3,R
KC2,PM2.5,01/01/2016 15:30,10.4,ug m-3,R
KC2,PM2.5,01/01/2016 15:45,10.4,ug m-3,R
KC2,PM2.5,01/01/2016 16:00,10.5,ug m-3,R
KC2,PM2.5,01/01/2016 16:15,10.5,ug m-3,R
KC2,PM2.5,01/01/2016 16:30,10.5,ug m-3,R
KC2,PM2.5,01/01/2016 16:45,10.5,ug m-3,R
KC2,PM2.5,01/01/2016 17:00,13.1,ug m-3,R
KC2,PM2.5,01/01/2016 17:15,13.1,ug m-3,R
