Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
KC5,PM10,01/01/2016 00:00,24.40000,ug/m3,R
KC5,PM10,01/01/2016 00:15,24.40000,ug/m3,R
KC5,PM10,01/01/2016 00:30,24.40000,ug/m3,R
KC5,PM10,01/01/2016 00:45,24.40000,ug/m3,R
KC5,PM10,01/01/2016 01:00,24.40000,ug/m3,R
KC5,PM10,01/01/2016 01:15,24.40000,ug/m3,R
KC5,PM10,01/01/2016 01:30,24.40000,ug/m3,R
KC5,PM10,01/01/2016 01:45,24.40000,ug/m3,R
KC5,PM10,01/01/2016 02:00,24.40000,ug/m3,R
KC5,PM10,01/01/2016 02:15,24.40000,ug/m3,R
KC5,PM10,01/01/2016 02:30,24.40000,ug/m3,R
KC5,PM10,01/01/2016 02:45,24.40000,ug/m3,R
KC5,PM10,01/01/2016 03:00,24.40000,ug/m3,R
KC5,PM10,01/01/2016 03:15,24.40000,ug/m3,R
KC5,PM10,01/01/2016 03:30,24.40000,ug/m3,R
KC5,PM10,01/01/2016 03:45,24.40000,ug/m3,R
KC5,PM10,01/01/2016 04:00,24.40000,ug/m3,R
KC5,PM10,01/01/2016 04:15,24.40000,ug/m3,R
KC5,PM10,01/01/2016 04:30,24.40000,ug/m3,R
KC5,PM10,01/01/2016 04:45,24.40000,ug/m3,R
KC5,PM10,01/01/2016 05:00,24.40000,ug/m3,R
KC5,PM10,01/01/2016 05:15,24.40000,ug/m3,R
KC5,PM10,01/01/2016 05:30,24.40000,ug/m3,R
KC5,PM10,01/01/2016 05:45,24.40000,ug/m3,R
KC5,PM10,01/01/2016 06:00,24.40000,ug/m3,R
KC5,PM10,01/01/2016 06:15,24.40000,ug/m3,R
KC5,PM10,01/01/2016 06:30,24.40000,ug/m3,R
KC5,PM10,01/01/2016 06:45,24.40000,ug/m3,R
KC5,PM10,01/01/2016 07:00,24.40000,ug/m3,R
KC5,PM10,01/01/2016 07:15,24.40000,ug/m3,R
KC5,PM10,01/01/2016 07:30,24.40000,ug/m3,R
KC5,PM10,01/01/2016 07:45,24.40000,ug/m3,R
KC5,PM10,01/01/2016 08:00,24.40000,ug/m3,R
KC5,PM10,01/01/2016 08:15,24.40000,ug/m3,R
KC5,PM10,01/01/2016 08:30,24.40000,ug/m3,R
KC5,PM10,01/01/2016 08:45,24.40000,ug/m3,R
KC5,PM10,01/01/2016 09:00,24.40000,ug/m3,R
KC5,PM10,01/01/2016 09:15,24.40000,ug/m3,R
KC5,PM10,01/01/2016 09:30,24.40000,ug/m3,R
KC5,PM10,01/01/2016 09:45,24.40000,ug/m3,R
KC5,PM10,01/01/2016 10:00,24.40000,ug/m3,R
KC5,PM10,01/01/2016 10:15,24.40000,ug/m3,R
KC5,PM10,01/01/2016 10:30,24.40000,ug/m3,R
KC5,PM10,01/01/2016 10:45,24.40000,ug/m3,R
KC5,PM10,01/01/2016 11:00,24.40000,ug/m3,R
KC5,PM10,01/01/2016 11:15,24.40000,ug/m3,R
KC5,PM10,01/01/2016 11:30,24.40000,ug/m3,R
KC5,PM10,01/01/2016 11:45,24.40000,ug/m3,R
KC5,PM10,01/01/2016 12:00,24.40000,ug/m3,R
KC5,PM10,01/01/2016 12:15,24.40000,ug/m3,R
KC5,PM10,01/01/2016 12:30,24.40000,ug/m3,R
KC5,PM10,01/01/2016 12:45,24.40000,ug/m3,R
KC5,PM10,01/01/2016 13:00,24.40000,ug/m3,R
KC5,PM10,01/01/2016 13:15,24.40000,ug/m3,R
KC5,PM10,01/01/2016 13:30,24.40000,ug/m3,R
KC5,PM10,01/01/2016 13:45,24.40000,ug/m3,R
KC5,PM10,01/01/2016 14:00,24.40000,ug/m3,R
KC5,PM10,01/01/2016 14:15,24.40000,ug/m3,R
KC5,PM10,01/01/2016 14:30,24.40000,ug/m3,R
KC5,PM10,01/01/2016 14:45,24.40000,ug/m3,R
KC5,PM10,01/01/2016 15:00,24.40000,ug/m3,R
KC5,PM10,01/01/2016 15:15,24.40000,ug/m3,R
KC5,PM10,01/01/2016 15:30,24.40000,ug/m3,R
KC5,PM10,01/01/2016 15:45,24.40000,ug/m3,R
KC5,PM10,01/01/2016 16:00,24.40000,ug/m3,R
KC5,PM10,01/01/2016 16:15,24.40000,ug/m3,R
KC5,PM10,01/01/2016 16:30,24.40000,ug/m3,R
KC5,PM10,01/01/2016 16:45,24.40000,ug/m3,R
KC5,PM10,01/01/2016 17:00,24.40000,ug/m3,R
KC5,PM10,01/01/2016 17:15,24.40000,ug/m3,R
KC5,PM10,01/01/2016 17:30,24.40000,ug/m3,R
