date,value
20160101,13.73707
20160102,3.89162
20160103,10.02010
20160104,17.23386
20160105,18.36747
20160106,17.68614
20160107,7.41768
20160108,17.12330
20160109,8.63744
20160110,9.06503
20160111,9.60538
20160112,11.34660
20160113,18.58528
20160114,12.93392
20160115,13.24891
20160116,26.60220
20160117,11.88655
20160118,18.75639
20160119,38.34658
20160120,36.77991
20160121,27.89424
20160122,15.98171
20160123,18.77297
20160124,4.62084
20160125,12.64753
20160126,10.56829
20160127,4.08228
20160128,15.58367
20160129,4.72467
20160130,8.04506
20160131,5.69284
20160201,13.71934
20160202,21.12044
20160203,13.72222
20160204,9.61645
20160205,6.33292
20160206,8.01670
20160207,7.05836
20160208,15.93283
20160209,17.42714
20160210,17.98203
20160211,25.79488
20160212,17.85887
20160213,10.22132
20160214,10.61152
20160215,16.38852
20160216,30.99763
20160217,23.29636
20160218,22.86681
20160219,15.13788
20160220,5.64663
20160221,5.83045
20160222,14.93981
20160223,18.84812
20160224,27.08077
20160225,24.13456
20160226,20.22137
20160227,14.71206
20160228,6.67913
20160229,19.99123
20160301,7.41498
20160302,10.02520
20160303,18.89595
20160304,17.25438
20160305,19.94216
20160306,24.95502
20160307,29.03576
20160308,20.98261
20160309,8.41587
20160310,29.74141
20160311,33.90091
20160312,26.67321
20160313,22.70098
20160314,14.97379
20160315,10.81134
20160316,11.53873
20160317,
20160318,
20160319,
20160320,
20160321,
20160322,
20160323,
20160324,
20160325,
20160326,
20160327,
20160328,
20160329,
20160330,
20160331,
20160401,
20160402,
20160403,
20160404,13.83425
20160405,11.73197
20160406,9.35016
20160407,11.21989
20160408,31.26317
20160409,6.28141
20160410,11.24618
20160411,16.25016
20160412,9.46623
20160413,14.43704
20160414,12.44901
20160415,9.92511
20160416,9.18849
20160417,10.10936
20160418,12.83460
20160419,15.58928
20160420,24.73630
20160421,20.36722
20160422,14.19974
20160423,9.06678
20160424,9.11492
20160425,8.84329
20160426,12.17251
20160427,12.88603
20160428,10.95679
20160429,11.23408
20160430,13.42631
20160501,5.71455
20160502,5.00193
20160503,16.63207
20160504,17.54310
20160505,15.34619
20160506,20.21061
20160507,19.20248
20160508,7.70344
20160509,17.62918
20160510,12.85887
20160511,13.15230
20160512,14.07930
20160513,16.43876
20160514,13.08856
20160515,16.57814
20160516,16.30309
20160517,9.21309
20160518,8.01589
20160519,9.07451
20160520,9.52528
20160521,3.96541
20160522,8.83117
20160523,10.48470
20160524,8.59307
20160525,11.16866
20160526,12.75544
20160527,13.46852
20160528,8.36490
20160529,3.72268
20160530,2.84651
20160531,2.36377
20160601,2.10211
20160602,4.18400
20160603,7.50002
20160604,8.52498
20160605,12.14804
20160606,20.16666
20160607,19.62884
20160608,16.01102
20160609,14.06086
20160610,13.48097
20160611,9.42797
20160612,6.96932
20160613,9.70397
20160614,5.28630
20160615,8.07243
20160616,11.35073
20160617,6.77880
20160618,12.60994
20160619,3.74676
20160620,4.30224
20160621,8.52470
20160622,7.00437
20160623,6.22659
20160624,8.22887
20160625,6.96596
20160626,4.83046
20160627,11.98217
20160628,12.91627
20160629,4.24575
20160630,5.50268
20160701,4.49598
20160702,9.85715
20160703,6.82211
20160704,4.89098
20160705,12.12670
20160706,7.80000
20160707,7.00544
20160708,9.26805
20160709,5.51319
20160710,4.03991
20160711,4.58763
20160712,10.00033
20160713,13.65731
20160714,13.28640
20160715,4.88730
20160716,3.07613
20160717,4.33763
20160718,9.88483
20160719,15.01834
20160720,13.38144
20160721,12.90657
20160722,12.04033
20160723,5.95861
20160724,2.50017
20160725,7.01414
20160726,7.66178
20160727,2.27131
20160728,6.37886
20160729,5.05355
20160730,9.37188
20160731,2.94864
20160801,5.59807
20160802,3.47702
20160803,4.02305
20160804,5.88070
20160805,8.12763
20160806,4.74771
20160807,3.28496
20160808,12.98073
20160809,17.00170
20160810,11.29307
20160811,7.98452
20160812,6.26612
20160813,2.63917
20160814,4.29616
20160815,10.20425
20160816,11.44288
20160817,11.96161
20160818,15.50656
20160819,13.10858
20160820,9.71382
20160821,2.53960
20160822,6.12727
20160823,13.50481
20160824,15.30994
20160825,14.92107
20160826,12.51905
20160827,12.73023
20160828,7.22723
20160829,7.07925
20160830,8.18612
20160831,5.08425
20160901,8.32248
20160902,4.76006
20160903,3.36286
20160904,3.05887
20160905,7.04178
20160906,3.93670
20160907,9.80695
20160908,8.98580
20160909,7.14566
20160910,4.79226
20160911,9.87522
20160912,8.86698
20160913,17.00176
20160914,13.26980
20160915,11.86155
20160916,11.50432
20160917,8.04334
20160918,7.87501
20160919,14.38364
20160920,6.00434
20160921,9.92378
20160922,9.09722
20160923,10.21729
20160924,9.55774
20160925,5.87647
20160926,16.12640
20160927,5.02547
20160928,9.86583
20160929,5.59710
20160930,10.75858
20161001,7.91021
20161002,12.26930
20161003,16.80527
20161004,13.77375
20161005,13.73059
20161006,10.39746
20161007,9.85810
20161008,4.57162
20161009,3.53147
20161010,7.17586
20161011,8.29561
20161012,4.05631
20161013,7.74393
20161014,10.47523
20161015,9.65608
20161016,7.51693
20161017,13.62118
20161018,8.87231
20161019,11.88013
20161020,11.65488
20161021,11.28421
20161022,8.22632
20161023,6.00586
20161024,13.39103
20161025,24.91534
20161026,8.53486
20161027,4.97912
20161028,14.52251
20161029,14.04609
20161030,14.08810
20161031,29.62768
20161101,22.51697
20161102,20.55944
20161103,12.50510
20161104,14.48731
20161105,
20161106,
20161107,16.50000
20161108,15.53119
20161109,7.24951
20161110,12.37472
20161111,22.55823
20161112,10.09156
20161113,15.02371
20161114,8.54690
20161115,3.42132
20161116,3.97800
20161117,10.79912
20161118,6.77562
20161119,7.83167
20161120,
20161121,5.20231
20161122,11.44846
20161123,10.59735
20161124,13.00165
20161125,13.06195
20161126,10.02079
20161127,6.20921
20161128,16.48235
20161129,27.25176
20161130,41.08730
20161201,26.80071
20161202,
20161203,27.20000
20161204,25.31612
20161205,
20161206,
20161207,10.40000
20161208,6.01890
20161209,7.15666
20161210,7.14633
20161211,10.44563
20161212,11.05398
20161213,10.60778
20161214,29.94289
20161215,23.33147
20161216,24.86385
20161217,13.12987
20161218,6.64582
20161219,21.66303
20161220,14.63287
